state,year,production_tonnes
Johor,2018,3113455
Johor,2019,3142218
Johor,2020,3157647
Johor,2021,2851495
Johor,2022,2969525
Kedah,2018,265770
Kedah,2019,239073
Kedah,2020,218106
Kedah,2021,236668
Kedah,2022,237382
Kelantan,2018,294884
Kelantan,2019,332438
Kelantan,2020,338021
Kelantan,2021,314406
Kelantan,2022,336061
Negeri Sembilan,2018,679451
Negeri Sembilan,2019,698440
Negeri Sembilan,2020,651310
Negeri Sembilan,2021,631112
Negeri Sembilan,2022,675767
Pahang,2018,2754382
Pahang,2019,3019773
Pahang,2020,2998600
Pahang,2021,2795769
Pahang,2022,3013127
Perak,2018,1861067
Perak,2019,1854050
Perak,2020,1840646
Perak,2021,1902382
Perak,2022,1866423
Selangor,2018,519504
Selangor,2019,521837
Selangor,2020,509535
Selangor,2021,522372
Selangor,2022,498904
Terengganu,2018,486416
Terengganu,2019,556230
Terengganu,2020,541371
Terengganu,2021,429665
Terengganu,2022,407500
Sabah,2018,5139356
Sabah,2019,5037168
Sabah,2020,4647375
Sabah,2021,4361537
Sabah,2022,4286665
Sarawak,2018,4179339
Sarawak,2019,4237411
Sarawak,2020,4054339
Sarawak,2021,3907820
Sarawak,2022,4005425
